품목명,규격_단위,규격,가격,기준일자
pc방 이용료,A4 10매,고아읍,7000,2023-06-25
pc방 이용료,A4 10매,도량동+선주원남동,8000,2023-06-25
pc방 이용료,A4 10매,상모사곡동+임오동,7000,2023-06-25
pc방 이용료,A4 10매,선산읍,7000,2023-06-25
pc방 이용료,A4 10매,송정동+형곡동,7000,2023-06-25
pc방 이용료,A4 10매,양포동+산동읍,7000,2023-06-25
pc방 이용료,A4 10매,원평동+신평동,8000,2023-06-25
pc방 이용료,A4 10매,인동동+진미동,8000,2023-06-25
pc방 이용료,A4 10매,평균,7375,2025-01-31
갈비탕,1그릇,고아읍,12000,2023-06-25
갈비탕,1그릇,도량동+선주원남동,12000,2023-06-25
갈비탕,1그릇,상모사곡동+임오동,11000,2023-06-25
갈비탕,1그릇,선산읍,11000,2023-06-25
갈비탕,1그릇,송정동+형곡동,12000,2023-06-25
갈비탕,1그릇,양포동+산동읍,12000,2023-06-25
갈비탕,1그릇,원평동+신평동,13000,2023-06-25
갈비탕,1그릇,인동동+진미동,12000,2023-06-25
갈비탕,1그릇,평균,11875,2025-01-31
감자,1kg,고아읍,29400,2023-06-25
감자,1kg,도량동+선주원남동,36800,2023-06-25
감자,1kg,상모사곡동+임오동,24000,2023-06-25
감자,1kg,선산읍,25000,2023-06-25
감자,1kg,송정동+형곡동,24750,2023-06-25
감자,1kg,양포동+산동읍,34500,2023-06-25
감자,1kg,원평동+신평동,25740,2023-06-25
감자,1kg,인동동+진미동,27000,2023-06-25
감자,1kg,평균,28399,2025-01-31
고등어,1마리,고아읍,13500,2023-06-25
고등어,1마리,도량동+선주원남동,9800,2023-06-25
고등어,1마리,상모사곡동+임오동,13000,2023-06-25
고등어,1마리,선산읍,16000,2023-06-25
고등어,1마리,송정동+형곡동,13000,2023-06-25
고등어,1마리,양포동+산동읍,10400,2023-06-25
고등어,1마리,원평동+신평동,11800,2023-06-25
고등어,1마리,인동동+진미동,9800,2023-06-25
고등어,1마리,평균,12163,2025-01-31
고추,600g,고아읍,6000,2023-06-25
고추,600g,도량동+선주원남동,6000,2023-06-25
